"","State","COUNT"
"1","Alabama",3
"2","Arizona",1
"3","Arkansas",57
"4","California",12
"5","Delaware",3
"6","District of Columbia",2
"7","Florida",47
"8","Georgia",54
"9","Idaho",26
"10","Illinois",3
"11","Indiana",3
"12","Iowa",3
"13","Kansas",5
"14","Kentucky",2
"15","Louisiana",4
"16","Maine",3
"17","Maryland",5
"18","Massachusetts",2
"19","Minnesota",3
"20","Mississippi",11
"21","Missouri",5
"22","Nebraska",1
"23","Nevada",4
"24","New Hampshire",1
"25","New Jersey",6
"26","New Mexico",6
"27","New York",12
"28","North Carolina",4
"29","North Dakota",1
"30","Ohio",5
"31","Oklahoma",32
"32","Oregon",7
"33","Pennsylvania",23
"34","South Carolina",3
"35","Tennessee",4
"36","Texas",267
"37","Utah",6
"38","Vermont",1
"39","Virginia",12
"40","Washington",14
"41","Wisconsin",3
